month_year,facility_id,Prod Vol Non-Concentrate (kL),Prod Vol Concentrate (kg),Prod Vol Non-Concentrate as Final Bev (kL)
Sep 2023,90261,,,
Jun 2023,90978,,,
May 2023,90960,,,
Aug 2023,91155,,,
Nov 2023,406,2145.5000,,2145.5000
Apr 2023,2804,22635.2160,,22635.2160
Jan 2023,6838,1881.5400,,1881.5400
Mar 2023,10205,53588.0000,,53625.0000
Oct 2023,9201,2533.8619,,2575.2219
Oct 2023,8017,1545.2287,,1545.2287
Jul 2023,5243,16744.4800,,16744.4800
Jan 2023,81963,,,
Mar 2023,7895,5207.7895,,5207.7895
Mar 2023,90669,,,
Mar 2023,82006,,,
Jun 2023,10053,38304.6078,,38304.6078
Jan 2023,80781,,,
Nov 2023,7776,9968.3293,,9968.3293
Jun 2023,6678,70494.4567,,70494.4567
Jul 2023,9130,40085.3550,,41293.4190
Apr 2023,91111,1449.0000,,1449.0000
Aug 2023,82844,,,
Sep 2023,90591,,,
Feb 2023,90013,0.0000,,0.0000
Jan 2023,5245,7775.9687,,7775.9687
May 2023,7293,5494.0710,,5494.0710
Sep 2023,7009,0.0000,,0.0000
Mar 2023,80792,,,
Jun 2023,2803,8863.4321,,8863.4321
Jun 2023,7222,28919.7292,,28919.7292
Dec 2023,6827,9479.8870,,9479.8870
Jun 2023,503,857.0664,,857.0664
May 2023,640,0.0000,,0.0000
Jul 2023,2424,61274.9959,,61274.9959
Jul 2023,9103,17172.2530,,25090.8420
Nov 2023,9566,20090.7437,,20090.7437
Jan 2023,90887,7139.0000,,7139.0000
Mar 2023,2410,6164.4000,,6164.4000
Feb 2023,9208,55210.1020,,55210.1020
May 2023,89982,,,
Jan 2023,90254,,,
Jun 2023,89971,,,
Mar 2023,1940,1089.7950,,1089.7950
Oct 2023,7986,24523.3928,,24523.3928
Feb 2023,9426,331.2000,,331.2000
Apr 2023,90097,,,
Jun 2023,21,1007.2770,,1007.2770
Apr 2023,9132,21571.4310,,22250.4360
Feb 2023,80794,,,
Jun 2023,90449,,,
Apr 2023,6712,77788.8800,,77788.8800
Sep 2023,4507,13680.0000,,13680.0000
Feb 2023,82052,,,
Oct 2023,5293,163720.3895,,170575.7597
Apr 2023,82904,,,
Jan 2023,5209,25754.4110,,25754.4110
Aug 2023,3073,33263.2320,,34170.5910
Feb 2023,90989,,,
Oct 2023,90502,,,
Jan 2023,90740,,,
Sep 2023,81373,,,
Jun 2023,91073,8192.5017,,8192.5017
Aug 2023,90803,,,
Dec 2023,2419,3365.5390,,3365.5390
Nov 2023,90290,,,
Feb 2023,81362,,,
Mar 2023,2471,0.0000,,0.0000
Apr 2023,8833,37824.9140,,43598.8423
Feb 2023,90491,,,
May 2023,6674,23361.6000,,23361.6000
Jan 2023,90367,,,
Sep 2023,1906,24229.6770,,24671.4650
Nov 2023,90208,,,
Feb 2023,90506,,,
Sep 2023,4208,25145.3170,,25145.3170
Nov 2023,91106,2547.1090,,2547.1090
Apr 2023,81956,,,
Apr 2023,81390,,1804124.0000,0.0000
Dec 2023,9510,7425.0270,,7668.7510
Jun 2023,90651,,,
Aug 2023,2283,16602.2660,,16602.2660
Apr 2023,90279,,,
Jan 2023,90425,44.0000,,198.0000
Feb 2023,90054,6496.0000,,6496.0000
Dec 2023,82713,,,
Sep 2023,89941,,,
Nov 2023,89963,,,
May 2023,89964,,,
Dec 2023,82895,,,
Sep 2023,90827,,,
May 2023,82845,,,
Jan 2023,3455,0.0000,,0.0000
Feb 2023,91194,,,
Dec 2023,90652,,,
Dec 2023,3476,2111.1770,,2111.1770
Feb 2023,82005,,,
Oct 2023,81931,,,
Aug 2023,9123,33069.0520,,33069.0520
Mar 2023,90275,,,
May 2023,90026,0.0000,,0.0000
Dec 2023,90502,,,
Sep 2023,4405,48684.9340,,49104.1570
Nov 2023,82038,,,
Mar 2023,8061,14180.9580,,14180.9580
Mar 2023,2938,0.0000,,0.0000
Jul 2023,1329,0.0000,,0.0000
Jan 2023,90836,,,
Aug 2023,82968,,,
Feb 2023,4411,9689.8647,,9689.8647
Jul 2023,91138,,,
May 2023,90231,,,
Mar 2023,90548,,,
Feb 2023,90335,,,
May 2023,82854,,,
Sep 2023,6806,28969.4880,,28969.4880
Jan 2023,90982,,,
Oct 2023,82712,,,
Nov 2023,90698,,,
Oct 2023,91021,,,
Oct 2023,90458,,,
Nov 2023,90704,,,
Sep 2023,90858,0.0010,,0.0010
Dec 2023,90955,,,
Sep 2023,82867,,,
Mar 2023,90761,,,
Jan 2023,90801,,,
Feb 2023,81803,,,
Apr 2023,81918,,,
Feb 2023,5285,21436.3916,,21721.0596
May 2023,90963,,,
Nov 2023,6839,4643.4000,,4643.4000
Nov 2023,6422,2139.9778,,2139.9778
May 2023,6222,61318.7000,,64005.0000
Jul 2023,90962,,,
Jul 2023,2423,6577.8980,,6577.8980
Nov 2023,91127,,,
Oct 2023,90529,,,
Jul 2023,3808,19401.2010,,19401.2010
May 2023,548,476.7500,,476.7500
Sep 2023,8205,5196.0138,,5196.0138
Mar 2023,5279,27589.2517,,30269.6953
Aug 2023,90787,0.0000,,0.0000
Oct 2023,91048,,,
Jan 2023,90280,,,
Apr 2023,6719,0.0000,,0.0000
Jul 2023,91151,0.0000,,0.0000
Jan 2023,81979,,,
Jul 2023,90867,6100.6800,,6100.6800
Oct 2023,2419,4754.8810,,4754.8810
Dec 2023,89985,,,
Jul 2023,2426,12818.7290,,12818.7290
Sep 2023,2920,19002.4400,,19002.4400
Jun 2023,8910,27775.1450,,27775.1450
Jun 2023,89944,,,
Nov 2023,90934,,,
Feb 2023,82029,,,
Nov 2023,7700,37225.1661,,37225.1661
Jun 2023,2411,13646.5635,,13728.3771
Feb 2023,89969,,,
Mar 2023,82000,,,
Sep 2023,5305,2196.6800,,2196.6800
Oct 2023,2855,43392.3009,,43749.2209
Dec 2023,3434,18892.0850,,18892.0850
Sep 2023,90505,,,
Jul 2023,9060,1034.4096,,1034.4096
Aug 2023,7718,8510.0000,,8510.0000
Sep 2023,7872,23629.4640,,23629.4640
Jan 2023,90986,,,
Jan 2023,91115,,,
Sep 2023,90874,0.0000,,0.0000
Mar 2023,9047,1233.7920,,1233.7920
Aug 2023,90681,,,
May 2023,80794,,,
Mar 2023,90410,,,
Jul 2023,8910,27145.4255,,27145.4255
Jan 2023,90695,,,
Aug 2023,90736,,,
Jul 2023,7347,0.0000,,0.0000
Sep 2023,5243,18656.1463,,18656.1463
May 2023,81928,,,
May 2023,81965,,,
Jan 2023,90473,,,
Nov 2023,81963,,,
Feb 2023,82892,,,
Aug 2023,6713,34173.6800,,34173.6800
Jan 2023,81932,,,
Dec 2023,90030,0.0000,,0.0000
May 2023,6706,14667.0700,,14667.0700
Jun 2023,9202,19390.4164,,21450.2980
Oct 2023,9200,8608.8762,,8683.9842
Aug 2023,90661,,,
Apr 2023,55,2876.0000,,2876.0000
Jan 2023,81855,,,
Jul 2023,91079,,,
Feb 2023,82866,,,
Jan 2023,7969,0.0000,,0.0000
May 2023,81885,,,
May 2023,90565,,,
Mar 2023,6821,2909.4240,,2909.4240
Aug 2023,90046,0.0000,,0.0000
Mar 2023,3870,5694.5160,,5694.5160
Jan 2023,90366,,,
May 2023,81456,,,
Dec 2023,90852,,,
Jul 2023,90203,0.0000,,0.0000
Dec 2023,6639,49822.7940,,49822.7940
May 2023,91152,4206.8038,,4206.8038
Feb 2023,90332,,,
Jul 2023,90647,,,
Feb 2023,90619,,,
Nov 2023,81383,,8844227.0000,0.0000
Mar 2023,90610,,,
Jan 2023,90286,,,
Jul 2023,90234,,,
Oct 2023,91134,,,
Jan 2023,257,37525.1000,,37525.1000
Oct 2023,90905,,,
Jun 2023,6706,14501.4900,,14501.4900
Oct 2023,4502,35509.2000,,35767.7000
Feb 2023,90296,,,
Apr 2023,90586,,,
Jul 2023,2639,1222.5350,,1222.5350
Mar 2023,6831,21549.2100,,21549.2100
May 2023,90283,,,
Dec 2023,82852,,,
Jul 2023,81783,,,
May 2023,8664,116.9465,,116.9465
Oct 2023,91112,,,
Jan 2023,8001,15032.4465,,16063.3594
Nov 2023,90946,,,
May 2023,90525,,,
Dec 2023,9568,592.7766,,3583.6834
Mar 2023,90437,,,
Jun 2023,91140,,,
Feb 2023,90053,690.6108,,690.6108
Aug 2023,91076,0.0000,,0.0000
Sep 2023,6718,15385.2000,,15385.2000
Dec 2023,91193,,,
Apr 2023,81906,,,
May 2023,1916,65787.1310,,66650.3460
Mar 2023,81822,,,
Feb 2023,81818,,,
Aug 2023,90226,,,
Apr 2023,2435,6771.7454,,6771.7454
Apr 2023,81882,,,
Aug 2023,90765,3671.8500,,3671.8500
Feb 2023,90052,1429.5258,,1429.5258
Feb 2023,81402,,3714143.0000,0.0000
Feb 2023,91144,,,
Oct 2023,81832,,,
Mar 2023,90261,,,
Oct 2023,90978,,,
Sep 2023,81894,,,
Feb 2023,6692,7289.9600,,7289.9600
Feb 2023,60,4053.3000,,4053.3000
Dec 2023,81996,,,
Oct 2023,90579,,,
Jun 2023,82015,,,
Sep 2023,90429,,,
Jun 2023,81951,,,
Sep 2023,90761,,,
Sep 2023,90398,,,
Feb 2023,90300,,,
Sep 2023,9251,20301.4370,,20301.4370
Dec 2023,10117,,,
Jan 2023,90155,0.0000,,0.0000
Apr 2023,81455,,,
May 2023,82883,,,
Nov 2023,90494,,,
May 2023,1909,40931.0000,,41319.0000
Jul 2023,8440,28583.0000,,28583.0000
Jan 2023,81832,,,
May 2023,6660,33014.8257,,42399.9509
Feb 2023,90993,0.0000,,0.0000
Sep 2023,81395,,3726710.7900,0.0000
Apr 2023,90876,0.0000,,0.0000
Apr 2023,90037,0.0000,,0.0000
Dec 2023,90914,16955.5812,,16955.5812
Aug 2023,2744,27171.2800,,27171.2800
Jan 2023,91027,,,
Mar 2023,90707,,,
Jan 2023,90854,,,
Apr 2023,10187,10773.2469,,10773.2469
Jul 2023,2289,13743.1920,,13743.1920
Apr 2023,81502,,,
May 2023,90695,,,
Oct 2023,82901,,,
Mar 2023,2932,5018.1000,,5018.1000
Aug 2023,90868,2173.6600,,2173.6600
Jan 2023,8421,7059.0000,,13549.0000
Nov 2023,6835,7968.2400,,7968.2400
Mar 2023,6621,21408.8090,,21408.8100
Dec 2023,9223,964.5600,,1014.9700
Nov 2023,3150,3100.8030,,3100.8030
Feb 2023,7308,0.0000,,0.0000
Jan 2023,7537,27314.0000,,27314.0000
Nov 2023,9200,11277.4794,,11470.3754
Dec 2023,91150,1791.7868,,1791.7868
Jun 2023,7770,27704.0000,,27704.0000
Jun 2023,209,0.3000,,0.3000
Dec 2023,405,2193.6000,,2193.6000
Jan 2023,7895,5490.5903,,5490.5903
May 2023,91039,0.0000,,0.0000
Apr 2023,3669,46093.7930,,47753.6890
Oct 2023,2841,11359.9500,,11359.9500
Feb 2023,2810,705.8700,,705.8700
Feb 2023,5431,12722.0000,,12722.0000
Feb 2023,2811,10712.2150,,10712.2150
Feb 2023,90745,,,
May 2023,8472,5276.8194,,5276.8194
Mar 2023,91203,,,
Dec 2023,90397,,,
Jan 2023,90516,,,
Dec 2023,91105,839.0000,,839.0000
Oct 2023,8509,0.0000,,0.0000
Mar 2023,90414,,,
Jul 2023,90236,,,
Feb 2023,82586,,,
Oct 2023,90621,,,
Jan 2023,90640,0.0000,,0.0000
Dec 2023,81802,,,
Jun 2023,90475,,,
Nov 2023,9567,0.0000,,0.0000
Nov 2023,5631,14864.2900,,14864.2900
Feb 2023,6657,19285.9160,,19394.4330
Nov 2023,91072,5375.3604,,5375.3604
May 2023,82000,,,
Oct 2023,89982,,,
Jan 2023,90914,9164.3238,,9164.3238
Mar 2023,3602,1636.6923,,1942.9093
Aug 2023,91081,,,
Jun 2023,91198,,50000.0000,0.0000
Apr 2023,91126,,,
Feb 2023,5045,3240.9620,,3240.9620
Sep 2023,81896,,,
Dec 2023,91111,1280.8450,,1280.8450
Mar 2023,6717,139478.2153,,139478.2153
May 2023,82880,,,
Aug 2023,81838,,,
Feb 2023,91169,,,
Dec 2023,90411,,,
Mar 2023,6408,31418.9841,,31720.7568
May 2023,81873,,,
Sep 2023,82047,,,
Apr 2023,740,798.2620,,1002.2000
Feb 2023,11130,,,
Jun 2023,90568,,,
Jun 2023,81376,,,
Apr 2023,82905,,,
Dec 2023,8207,2351.0482,,2351.0482
Oct 2023,9192,1778.0169,,1778.0169
May 2023,90298,,,
Jun 2023,10013,24734.0000,,24734.0000
Mar 2023,81993,,,
Sep 2023,90608,,,
May 2023,91204,,,
Sep 2023,81882,,,
Jun 2023,10105,,,
Apr 2023,90311,,,
Nov 2023,89985,,,
Dec 2023,90753,,,
Mar 2023,90547,,,
Feb 2023,544,18718.4219,,18718.4219
Jun 2023,90368,,,
Aug 2023,90931,,,
May 2023,9039,38776.5130,,43033.3515
Apr 2023,91087,0.0000,,0.0000
Dec 2023,508,3103.9270,,3103.9270
Sep 2023,6408,33340.5504,,33704.3860
Jan 2023,81995,,,
Aug 2023,81679,,,
Sep 2023,90812,0.0000,,0.0000
May 2023,90326,,,
Dec 2023,252,,,
Apr 2023,89970,,,
May 2023,3150,9599.1535,,9599.1535
Aug 2023,90579,,,
May 2023,81353,,,
Feb 2023,90281,,,
Nov 2023,90423,0.0000,,0.0000
Jul 2023,82850,,,
Sep 2023,9179,6179.5910,,6179.5910
Feb 2023,90481,428.5554,,428.5554
Jul 2023,90172,,,
Oct 2023,91128,,,
May 2023,90570,,,
Jun 2023,82038,,,
Jun 2023,90765,4800.6700,,4800.6700
May 2023,91035,,,
Nov 2023,81981,,,
Jul 2023,89962,,,
Oct 2023,81353,,,
May 2023,11148,,,
Aug 2023,91088,,,
Dec 2023,81982,,,
Oct 2023,9617,5044.2000,,5044.2000
Apr 2023,82031,,,
Nov 2023,82602,,,
Aug 2023,90816,,,
Jul 2023,81987,,,
Apr 2023,90412,,,
Feb 2023,90421,,,
Mar 2023,90251,,,
Apr 2023,90297,,,
Oct 2023,81994,,,
May 2023,81379,,,
Apr 2023,4228,0.0000,,0.0000
Jul 2023,82862,,,
Oct 2023,90314,,,
Apr 2023,90777,1397.0000,,1397.0000
Apr 2023,91009,,,
Aug 2023,828,1374.2160,,1374.2160
Jul 2023,82869,,,
Jul 2023,90968,,,
Sep 2023,81969,,,
Dec 2023,91030,,,
Jul 2023,208,0.0000,,0.0000
Feb 2023,90345,,,
May 2023,90252,,,
Jul 2023,90745,,,
Jan 2023,91008,,,
Dec 2023,91086,,,
May 2023,90545,,,
May 2023,632,3377.0000,,3377.0000
May 2023,90288,,,
May 2023,82945,,,
Feb 2023,91118,,,
Mar 2023,91211,,,
Apr 2023,90776,0.0000,,0.0000
Jun 2023,8492,1709.0000,,1709.0000
Apr 2023,90907,,,
May 2023,91120,,,
May 2023,90553,,,
Feb 2023,90361,,,
May 2023,91188,,,
Jul 2023,90860,,,
Oct 2023,90898,,,
Jul 2023,91187,,,
Apr 2023,90892,,,
May 2023,90904,,,
Jul 2023,91067,,,
Nov 2023,91077,,,
Jun 2023,7776,15206.3171,,15206.3171
Jan 2023,3658,10365.7350,,10365.7350
May 2023,81346,,,
Jan 2023,90543,,,
Apr 2023,90625,,,
Mar 2023,90236,,,
Sep 2023,90481,167.2630,,167.2630
Nov 2023,82909,,,
Sep 2023,90970,,,
Jan 2023,7986,22208.5983,,22208.5983
Oct 2023,90248,,,
Jan 2023,10154,5517.0000,,5517.0000
Jan 2023,2367,23593.9960,,23593.9960
Aug 2023,81862,,,
Jun 2023,3805,31970.0100,,31970.0100
May 2023,2289,11607.3580,,11607.3580
Oct 2023,82872,,,
Sep 2023,2604,17685.7380,,17762.8700
Jul 2023,90261,,,
Aug 2023,9139,30474.1326,,34255.0106
Nov 2023,6607,30696.4105,,30954.9105
Oct 2023,430,3563.6000,,3563.6000
Jul 2023,9137,58214.8720,,59386.9270
Dec 2023,90035,0.0000,,0.0000
Sep 2023,7895,4844.1359,,4844.1359
Jan 2023,81869,,,
Jul 2023,8444,25443.0000,,37572.0000
Mar 2023,9004,45444.1310,,50264.6494
Jan 2023,90653,,,
Apr 2023,80791,,,
Feb 2023,9513,16318.2852,,16318.2852
Feb 2023,81350,,,
Jun 2023,11154,,,
Feb 2023,82924,,,
Aug 2023,90521,,,
Nov 2023,90591,,,
Jun 2023,90915,6871.4480,,6871.4480
Oct 2023,90662,,,
Apr 2023,90024,0.0000,,0.0000
Nov 2023,81398,,55896.0250,0.0000
Feb 2023,90824,,,
Dec 2023,82912,,,
Aug 2023,81941,,,
Jul 2023,82716,,,
Mar 2023,81363,,,
Jun 2023,2430,12927.4720,,12927.4720
Jul 2023,91145,,,
Apr 2023,90015,41614.1829,,41614.1829
Nov 2023,90433,,,
Oct 2023,5431,12468.0900,,12468.0900
Aug 2023,2919,6664.5362,,6814.6902
Sep 2023,90203,0.0000,,0.0000
Nov 2023,82872,,,
Aug 2023,714,42266.0400,,42266.0400
Mar 2023,81388,,6590942.0000,0.0000
Dec 2023,90993,0.0000,,0.0000
Oct 2023,90977,,,
Dec 2023,90352,,,
Aug 2023,508,1906.5744,,1906.5744
Nov 2023,7524,23354.0000,,23354.0000
May 2023,4908,14592.3900,,14592.3900
Mar 2023,34,714.0340,,714.0340
Jul 2023,90277,,,
Mar 2023,7112,45708.7640,,45708.7640
Oct 2023,90661,,,
Apr 2023,90730,,,
Jul 2023,91057,,,
Jun 2023,90871,13123.1000,,13123.1000
Dec 2023,81763,,,
Oct 2023,2414,1807.8170,,1807.8170
May 2023,543,7359.3950,,7359.3950
Jun 2023,90786,70.1574,,70.1574
Jan 2023,91154,,,
Jul 2023,91102,,,
Mar 2023,81350,,,
Mar 2023,5819,35827.9700,,36033.9300
Nov 2023,8016,2435.8799,,2435.8799
Sep 2023,2830,1791.1330,,2960.8330
Jan 2023,81884,,,
Jan 2023,91157,,,
Apr 2023,7807,24497.3870,,24497.3870
Oct 2023,90858,0.0010,,0.0010
Nov 2023,81446,862.6760,,862.6760
Jan 2023,82720,,,
Apr 2023,82716,,,
Feb 2023,8013,1283.3164,,1283.3164
Oct 2023,90368,,,
Jul 2023,91063,0.0000,,0.0000
Mar 2023,90010,0.0000,,0.0000
Nov 2023,90811,,,
Aug 2023,91203,0.0000,,0.0000
Apr 2023,90196,0.0000,,0.0000
Jul 2023,90493,,,
Aug 2023,90989,,,
Jan 2023,28,4462.9650,,4462.9650
Dec 2023,90059,0.0000,,0.0000
Dec 2023,90826,,,
Nov 2023,4208,18850.7720,,18850.7720
Jan 2023,4007,24290.8120,,24290.8120
Feb 2023,81344,,,
Sep 2023,90936,,,
May 2023,90346,,,
Feb 2023,90893,,,
Aug 2023,82044,,,
Aug 2023,90251,,,
Jul 2023,90495,,,
Jun 2023,90753,,,
Mar 2023,3417,57686.1690,,94474.5860
Jun 2023,89998,,,
Mar 2023,90343,,,
Jan 2023,81965,,,
Feb 2023,90512,,,
Apr 2023,90857,,,
Oct 2023,4214,0.0000,,0.0000
May 2023,8505,0.0000,,0.0000
Dec 2023,8560,379.7496,,379.7496
Feb 2023,90952,,,
Mar 2023,80839,,,
Jul 2023,81350,,,
Dec 2023,90880,,,
Feb 2023,81363,,,
Jun 2023,81955,,,
Feb 2023,2858,13547.6200,,13690.5000
Nov 2023,81847,,,
Oct 2023,90425,0.0000,,0.0000
Jun 2023,90999,,,
Jun 2023,90777,2689.0000,,2689.0000
May 2023,90293,,,
Sep 2023,81851,,,
Apr 2023,90753,,,
Nov 2023,90853,,,
Sep 2023,90751,,,
Jan 2023,91026,8920.3440,,8920.3440
Jan 2023,50,379.0870,,379.0870
Nov 2023,90567,,,
Apr 2023,623,20215.2853,,20215.2853
Dec 2023,82029,,,
